Event,Full Name,Team Name,points,Division,Weight
Panhandle,Martin Mejia,Panhandle RTC,0,D2,92
Panhandle,Xavior Morgas,Glory Wrestling Academy,0,D2,61
TX Nationals,Graham Scott,Aledo Wrestling Club,0,D2,115
Edge of Texas,Zane Enriquez,Takedown Elite,0,D2,58
Panhandle,Zane Enriquez,Takedown Elite Wrestling,0,D2,55
Panhandle,Brantley Arluck,Spartan Mat Club,30,D2,92
TX Nationals,Brantley Arluck,Spartan Mat Club,30,D2,92
Panhandle,Malachi Latham,Randall Youth Wrestling Club,10,D2,75
Edge of Texas,Aaron Encerrado,Sentinels Wrestling Academy,10,D2,75
Panhandle,Malachi Sandoval,Wesley Club Wrestling,0,D2,115
Heart of Texas,Sailor Roberts,Wesley Club Wrestling,0,D2,55
Panhandle,Sailor Roberts,Wesley Club Wrestling,0,D2,52
Panhandle,Thomas Delarosa,Dumas Wrestling,0,D2,100
Panhandle,Aiden Vargas,Dumas Wrestling,10,D2,92
Panhandle,Brantley Anderson,Dumas Wrestling,0,D2,61
Heart of Texas,Cole Latta,Texas Elite Wrestling Club,30,D2,83
TX Nationals,Colton Lial,FM Wrestling Club,0,D2,83
TX Nationals,Legend Collins,Mission Wrestling Club,30,D2,75
Heart of Texas,Devin Kendrick,Powerhouse Wrestling,10,D2,55
Edge of Texas,Zachary Rios,Panhandle RTC,0,D2,58
Panhandle,Zachary Rios,Panhandle RTC,0,D2,58
Edge of Texas,Ivory Mathews,Team Fox Wrestling Club,30,D2,92
Heart of Texas,Teddy Collins,Texans Wrestling Club,0,D2,83
Heart of Texas,Moses Smith,Nolf Wrestling Academy,0,D2,61
TX Nationals,Payton Johnson,Spring Klein Wrestling Club,0,D2,55
Edge of Texas,Jax Alderete,Sentinels Wrestling Academy,30,D2,75
TX Nationals,Raiden McGowan,Apex Grappling Academy,10,D2,49
TX Nationals,Elijah Flores,Jflo Trained,30,D2,61
TX Nationals,Grace Windom,Silverback Wrestling Fort Worth,30,D2,115
Panhandle,Logan Reid Scott,Stay Sharp Wrestling Club,0,D2,58
TX Nationals,Nicholas Lupardus,All American Wrestling Club,30,D2,70
Heart of Texas,Chandler Robinson,Best Trained Wrestling,10,D2,61
Edge of Texas,Tya Elasfouri,Gracie Barra Westchase Wrestling Club,30,D2,55
TX Nationals,Tya Elasfouri,Gracie Barra Westchase Wrestling Club,5,D2,55
Heart of Texas,Tya Elasfouri,Gracie Barra Westchase Wrestling Club,0,D2,55
TX Nationals,Hudson Lemaire,Jflo Trained,30,D2,52
TX Nationals,Emmitt Garcia,NB Elite Wrestling Club,5,D2,49
Edge of Texas,Ezekiel Silva,El Paso Wildcats Wrestling Club,5,D2,70
TX Nationals,Abram Murillo,The Woodlands Highlander Wrestling Club,5,D2,70
Panhandle,Ezra Tarango,El Paso Texas Wrestling Club (EPTWC),0,D2,100
Panhandle,Colton Benson,Randall Youth Wrestling Club,0,D2,115
TX Nationals,Socorro Hinojos,Texas Elite Wrestling Club,10,D2,55
TX Nationals,Kaleb Olsen,Fitness Fight Factory Wrestling Club,0,D2,65
Heart of Texas,Kaleb Olsen,Fitness Fight Factory Wrestling Club,5,D2,65
Edge of Texas,Shawn Pena,ReZults Wrestling,10,D2,49
Panhandle,Shawn Pena,ReZults Wrestling,10,D2,49
TX Nationals,Truett Randle,Apex Grappling Academy,10,D2,75
Edge of Texas,Nolan Murphy,Takedown City Wrestling Club,0,D2,70
Panhandle,Jimmy Nunn,West Amarillo Wrestling Club,5,D2,75
TX Nationals,Joseph Olszta Iii,All American Wrestling Club,30,D2,83
Panhandle,Riley Honea,Armstrong County Wrestling Academy,0,D2,70
Panhandle,James Burrow,Dumas Wrestling,0,D2,83
TX Nationals,Robert Walker,Fitness Fight Factory Wrestling Club,30,D2,65
Panhandle,Lee Horn,Panther City Wrestling Club,0,D2,70
Panhandle,Jayden Garza,Wesley Club Wrestling,5,D2,49
Edge of Texas,Wade Steinert,Sentinels Wrestling Academy,10,D2,70
TX Nationals,Asher Crouch,Westlake Youth Wrestling Club,0,D2,92
Heart of Texas,Asher Crouch,Westlake Youth Wrestling Club,5,D2,92
TX Nationals,Carter Scarbro,G580 Wrestling Club,0,D2,70
Edge of Texas,Abram Stapley,Cyclones Wrestling Club,0,D2,75
Heart of Texas,Ivan Gore,Nolf Wrestling Academy,30,D2,92
TX Nationals,Ezekiel Olsen,Fitness Fight Factory Wrestling Club,0,D2,61
Panhandle,Ezekiel Olsen,Fitness Fight Westchase Wrestling Club,10,D2,58
Heart of Texas,Ezekiel Olsen,Fitness Fight Factory Wrestling Club,0,D2,58
Panhandle,Kendrick Johnson,Wesley Club Wrestling,0,D2,70
TX Nationals,Elisha Price Blalock,Vici Wrestling Club,0,D2,75
Heart of Texas,Elisha Price Blalock,Vici Wrestling Club,5,D2,75
Heart of Texas,Troy Franks,Wolf Pack Wrestling TX,0,D2,83
TX Nationals,Matthew Neal,Legacy Wrestling Club,0,D2,100
Heart of Texas,Matthew Neal,Legacy Wrestling Club,5,D2,100
Heart of Texas,Aiden Chinchilla,Spring Klein Wrestling Club,0,D2,65
Panhandle,Joao Flores,Katy Area Wrestling Club,0,D2,75
Heart of Texas,Lincoln Myers,Dead Shot Wrestling Club,0,D2,65
TX Nationals,Lincoln Myers,Dead Shot Wrestling Club,10,D2,61
Heart of Texas,Jayda Mayora,Nolf Wrestling Academy,10,D2,49
Panhandle,Christian Huynh,Warrior Trained Wrestling,30,D2,61
Heart of Texas,Christian Huynh,Warrior Trained Wrestling,30,D2,61
TX Nationals,Jace Young,The Woodlands Highlander Wrestling Club,0,D2,100
Heart of Texas,Jace Young,The Woodlands Highlander Wrestling Club,10,D2,100
Edge of Texas,Daniel Duran,Takedown Elite,5,D2,83
Panhandle,Izan Villagrana,All American Wrestling Club,5,D2,100
TX Nationals,Patrick Bedford,Katy Area Wrestling Club,0,D2,61
Heart of Texas,Patrick Bedford,Katy Area Wrestling Club,5,D2,61
TX Nationals,Grayson McKane,Boneyard Wrestling Academy,30,D2,100
Heart of Texas,Grayson McKane,Boneyard Wrestling Academy,30,D2,100
Heart of Texas,Jackson Kay,Best Trained Wrestling,30,D2,199
TX Nationals,Jackson Kay,Best Trained Wrestling,30,D2,199
Edge of Texas,Jackson Kay,Best Trained Wrestling,30,D2,168
TX Nationals,Jace Lopez,ReZults Wrestling,0,D2,115
Heart of Texas,Jay Escobar,Gracie Barra Westchase Wrestling Club,0,D2,61
Panhandle,Skyler Kerns,Bomb City Wrestling Academy,0,D2,75
TX Nationals,Baron Todd,Texas Elite Wrestling Club,5,D2,52
TX Nationals,Nathaniel Morin,Fitness Fight Factory Wrestling Club,0,D2,52
Edge of Texas,Kaedyn Hine,Fitness Fight Factory Wrestling Club,30,D2,65
Panhandle,Kaedyn Hine,Fitness Fight Factory Wrestling Club,30,D2,65
TX Nationals,Kaedyn Hine,Fitness Fight Factory Wrestling Club,10,D2,65
Heart of Texas,Kaedyn Hine,Fitness Fight Factory Wrestling Club,30,D2,65
Edge of Texas,Rene Rodriguez,Panhandle RTC,0,D2,83
Edge of Texas,Ruben Trevino,Wesley Club Wrestling,0,D2,58
Panhandle,Ruben Trevino,Wesley Club Wrestling,5,D2,55
TX Nationals,Titus Tyner,Cardinal Wrestling Club,5,D2,100
TX Nationals,Miles Gibson,Star Wrestling Club,10,D2,115
Panhandle,Kreed Weatherly,Dumas Wrestling,0,D2,55
Panhandle,Kross Weatherly,Dumas Wrestling,0,D2,58
Panhandle,Carter Colson,West Amarillo Wrestling Club,0,D2,75
Heart of Texas,Carter Colson,West Amarillo Wrestling Club,30,D2,70
TX Nationals,Edison Cutts,Fitness Fight Factory Wrestling Club,0,D2,75
Heart of Texas,Edison Cutts,Fitness Fight Factory Wrestling Club,30,D2,75
Panhandle,Colsen Weinstock,,5,D2,83
Edge of Texas,Gael Ruiz,El Paso Texas Wrestling Club,5,D2,75
Heart of Texas,Jaxon Minardi,3F Wrestling,0,D2,70
Heart of Texas,Jacob Pennington,Heart and Pride Wrestling Club,5,D2,55
TX Nationals,Riley Morin,Fitness Fight Factory Wrestling Club,0,D2,70
Edge of Texas,Jaxon Kirchgessner,Hill Country Wildcats Wrestling Club,0,D2,70
Heart of Texas,Jaxon Kirchgessner,Hill Country Wildcats Wrestling Club,0,D2,70
Panhandle,Brock Wicketts,Bar None Wrestling,30,D2,75
TX Nationals,Brock Wicketts,Bar None Wrestling,10,D2,70
Edge of Texas,Noel Martinez,Takedown City Wrestling Club,10,D2,115
TX Nationals,Noel Martinez,Takedown City Wrestling Club,0,D2,115
Heart of Texas,Levi Vonberg,Grizzly Wrestling Club,0,D2,92
TX Nationals,Joseph Lopez,Vici Wrestling Club,0,D2,92
Heart of Texas,Joseph Lopez,Vici Wrestling Club,0,D2,92
Edge of Texas,Bejan Sadiev,Gracie Barra Westchase Wrestling Club,10,D2,83
Panhandle,Bejan Sadiev,Gracie Barra Westchase Wrestling Club,30,D2,83
TX Nationals,Bejan Sadiev,Gracie Barra Westchase Wrestling Club,0,D2,83
Edge of Texas,Leonardo Bustos,Nolf Wrestling Academy,5,D2,65
Panhandle,Leonardo Bustos,Nolf Wrestling Academy,0,D2,65
TX Nationals,Leonardo Bustos,Nolf Wrestling Academy,5,D2,65
Heart of Texas,Leonardo Bustos,Nolf Wrestling Academy,10,D2,65
Panhandle,Clayton Williams,,10,D2,115
TX Nationals,Clayton Williams,FM Wrestling Club,5,D2,115
Panhandle,James Irish,,5,D2,199
TX Nationals,James Irish,Liberty Warriors Wrestling Club,5,D2,199
Heart of Texas,Benjamin Shoemate,Spartan Mat Club,0,D2,58
TX Nationals,Elias Vidrios Vera,Nolf Wrestling Academy,0,D2,58
Heart of Texas,Elias Vidrios Vera,Nolf Wrestling Academy,5,D2,58
Edge of Texas,Phillip Kent Iv,Roberson,5,D2,92
Panhandle,Phillip Kent IV,Roberson,0,D2,92
Edge of Texas,Noah Ordonez,El Paso Wildcats Wrestling Club,5,D2,115
TX Nationals,Gabriel Zamora,Best Trained Wrestling,0,D2,55
Heart of Texas,Tristan Topper,Texas Elite Wrestling Club,0,D2,70
Panhandle,Jerry Legge III,Fitness Fight Factory Wrestling Club,0,D2,52
TX Nationals,Jerry Legge Iii,Fitness Fight Factory Wrestling Club,10,D2,52
Heart of Texas,Jerry Legge III,Fitness Fight Factory Wrestling Club,30,D2,52
Heart of Texas,Jerry Legge III,Fitness Fight Factory Wrestling Club,0,D2,52
TX Nationals,Max Martinez,All American Wrestling Club,5,D2,58
Panhandle,Josiah Stuart,Randall Youth Wrestling Club,5,D2,70
Panhandle,Easton Baugus,Dumas Wrestling,0,D2,83
Panhandle,Martin Narvaez,Dumas Wrestling,10,D2,83
Panhandle,Lane Miner,Glory Wrestling Academy,0,D2,49
Edge of Texas,Kai Sanchez,El Paso Wildcats Wrestling Club,0,D2,65
Panhandle,OConner Johnson,Randall Youth Wrestling Club,10,D2,100
TX Nationals,Jagger Hood,512 Outlaw Wrestling,0,D2,61
Edge of Texas,Jaden Valadez,El Paso Wildcats Wrestling Club,10,D2,168
Heart of Texas,Ezekiel Aquino,Takedown City Wrestling Club,0,D2,65
Edge of Texas,Daniel Gauthier,Sentinels Wrestling Academy,10,D2,55
Heart of Texas,Josiah Rendon,Heart and Pride Wrestling Club,10,D2,83
TX Nationals,Robert Lively,Vici Wrestling Club,0,D2,83
Heart of Texas,Robert Lively,Vici Wrestling Club,0,D2,83
Panhandle,Landen Taylor,,0,D2,115
Heart of Texas,Atticus Rowe,NB Elite Wrestling Club,0,D2,75
TX Nationals,Aiden Chowdhury,Nolf Wrestling Academy,0,D2,65
Edge of Texas,Gerardo (Julian) Ramirez,El Paso Texas Wrestling Club,30,D2,52
Edge of Texas,Daniel Casillas,El Paso Texas Wrestling Club,30,D2,100
Edge of Texas,Blayden Ortega,El Paso Texas Wrestling Club,0,D2,75
Edge of Texas,Eli Benjamin,Alamo City Wrestling Club,5,D2,58
TX Nationals,Eli Benjamin,Alamo City Wrestling Club,0,D2,58
Heart of Texas,Eli Benjamin,Alamo City Wrestling Club,10,D2,58
TX Nationals,Pedro Damian Gonzalez,Dead Shot Wrestling Club,0,D2,100
Heart of Texas,Oscar Li,G580 Wrestling Club,5,D2,70
Heart of Texas,Benjamin Thomas,G580 Wrestling Club,0,D2,75
Heart of Texas,Weston Malone,Texas Elite Wrestling Club,0,D2,75
Edge of Texas,Elliott Mendez,El Paso Wildcats Wrestling Club,10,D2,52
Edge of Texas,Angelo Clogston,Horizon City Tigers,10,D2,61
Edge of Texas,Liam Lopez,El Paso Wildcats Wrestling Club,0,D2,92
Heart of Texas,Roy Saucedo Jr,Austin Texas Wrestling Club,10,D2,199
TX Nationals,Roy Saucedo Jr,Austin Texas Wrestling Club,10,D2,199
Edge of Texas,Ezio Moreno,Cyclones Wrestling Club,5,D2,49
Heart of Texas,Sebastian Ramirez,Vici Wrestling Club,0,D2,61
Lonestar Nationals,Dylan O'Connor,Cardinal Wrestling Club,30,D2  ,83
