Event,Full Name,Team Name,points,Division,Weight
Panhandle,Tiger Ruiz,,10,D4,162
TX Nationals,Tiger Ruiz,5 Monkey Wrestling Club,10,D4,162
Heart of Texas,Tiger Ruiz,5 Monkey Wrestling Club,10,D4,162
Lonestar Nationals,Jason Coffel,NB Elite Wrestling Club,0,D4,80
Lonestar Nationals,Beckhem Fields,Cardinal Wrestling Club,5,D4,150
TX Nationals,Camden Danielson,Texas Elite Wrestling Club,0,D4,92
TX Nationals,Samuel Martin,Nolf Wrestling Academy,30,D4,80
Edge of Texas,Albie Cigarroa,El Paso Wildcats Wrestling Club,0,D4,113
Heart of Texas,Albie Cigarroa,El Paso Wildcats Wrestling Club,5,D4,113
Lonestar Nationals,Albie Cigarroa,El Paso Wildcats Wrestling Club,0,D4,113
Panhandle,Joey Stevens,Glory Wrestling Academy,10,D4,285
Panhandle,John Alvarado,,10,D4,113
TX Nationals,John Alvarado,Apex Grappling Academy,0,D4,113
TX Nationals,Anthony Salazar,Spartan Mat Club,30,D4,86
Panhandle,Brian An,,30,D4,120
Lonestar Nationals,Gino Ferrari,Cardinal Wrestling Club,30,D4,80
Edge of Texas,Ethan Campos,Dumas Wrestling,10,D4,106
Lonestar Nationals,Ethan Campos,Dumas Wrestling,5,D4,106
Panhandle,"Daniel Morgas, III",Glory Wrestling Academy,0,D4,92
Edge of Texas,Cruz Willis,Dumas Wrestling,0,D4,92
Panhandle,Austin Toscano,NXT Level Wrestling Academy,10,D4,140
Lonestar Nationals,Peter Rocha,Warrior Trained Wrestling,0,D4,140
Panhandle,Isaiah Joe Foster,Best Trained Wrestling,30,D4,285
TX Nationals,Isaiah Joe Foster,Best Trained Wrestling,30,D4,199
Lonestar Nationals,Maximus Lupardus,All American Wrestling Club,10,D4,140
TX Nationals,Maximus Lupardus,All American Wrestling Club,0,D4,132
Heart of Texas,Michael Lopez,ONE Wrestling Academy,0,D4,140
TX Nationals,Dominic Perez,Brawley Wrestling Academy,5,D4,199
Lonestar Nationals,Nolan Rossing,NB Elite Wrestling Club,0,D4,140
TX Nationals,Caleb Frease,Wildcat Wrestling Club,30,D4,92
Panhandle,Jace Jackson,,0,D4,132
TX Nationals,Jace Jackson,Grapevine Wrestling Club,0,D4,132
Heart of Texas,Jace Jackson,Grapevine Wrestling Club,10,D4,132
Lonestar Nationals,Jace Jackson,Grapevine Wrestling Club,0,D4,132
Panhandle,Aidan Olivas,West Amarillo Wrestling Club,0,D4,150
Lonestar Nationals,Aidan Olivas,West Amarillo Wrestling Club,0,D4,150
TX Nationals,Julian Guzman,Vici Wrestling Club,10,D4,175
Edge of Texas,Liam Smith,Hill Country Wildcats Wrestling Club,10,D4,175
Panhandle,Liam Smith,Hill Country Wildcats Wrestling Club,0,D4,175
TX Nationals,Liam Smith,Hill Country Wildcats Wrestling Club,0,D4,175
Heart of Texas,Liam Smith,Hill Country Wildcats Wrestling Club,10,D4,175
Lonestar Nationals,Liam Smith,Hill Country Wildcats Wrestling Club,5,D4,162
Heart of Texas,Bram Montour,NB Elite Wrestling Club,0,D4,106
Heart of Texas,Kaleb Mayora,Nolf Wrestling Academy,0,D4,113
Edge of Texas,Vivienne Yarbrough,Gracie Barra Westchase Wrestling Club,5,D4,126
TX Nationals,Fernando Jimeno,KT 3 Style Wrestling Club,30,D4,106
TX Nationals,Gabriel Jaxon Medrano,Gracie Barra Westchase Wrestling Club,30,D4,113
Lonestar Nationals,Gabriel Jaxon Medrano,Gracie Barra Westchase Wrestling Club,30,D4,106
Heart of Texas,Xavi Alcoran,512 Outlaw Wrestling,10,D4,106
Heart of Texas,Caegan Konetski,Legacy Wrestling Club,0,D4,106
Edge of Texas,Layton Urbanczyk,Nolf Wrestling Academy,30,D4,120
Panhandle,Layton Urbanczyk,Nolf Wrestling Academy,5,D4,120
TX Nationals,Layton Urbanczyk,Nolf Wrestling Academy,5,D4,120
Panhandle,Maddox Mayora,Nolf Wrestling Academy,0,D4,75
Heart of Texas,Maddox Mayora,Nolf Wrestling Academy,10,D4,75
Lonestar Nationals,Maddox Mayora,Nolf Wrestling Academy,0,D4,75
Edge of Texas,Audrey Cunningham,Gracie Barra Westchase Wrestling Club,10,D4,113
Edge of Texas,Andrew Kamins,Vici Wrestling Club,10,D4,162
Panhandle,Andrew Kamins,,30,D4,162
TX Nationals,Andrew Kamins,Vici Wrestling Club,30,D4,162
Heart of Texas,Andrew Kamins,Vici Wrestling Club,30,D4,162
Lonestar Nationals,Andrew Kamins,Vici Wrestling Club,30,D4,162
Lonestar Nationals,Nathaniel Heard,Texas Select Wrestling,30,D4,86
Edge of Texas,Rylan Oberbeck,West Texas Grapplers Wrestling Club,0,D4,106
TX Nationals,Rylan Oberbeck,West Texas Grapplers Wrestling Club,0,D4,106
Lonestar Nationals,Rylan Oberbeck,West Texas Grapplers Wrestling Club,0,D4,106
Lonestar Nationals,Mason Campos,Dumas Wrestling,0,D4,86
Edge of Texas,Mason Campos,Dumas Wrestling,30,D4,80
Panhandle,Luke Lucero,ReZults Wrestling,5,D4,150
Panhandle,Isaiah Navarrete,Panhandle RTC,0,D4,75
Edge of Texas,Annabel Choo,Gracie Barra Westchase Wrestling Club,30,D4,75
TX Nationals,Annabel Choo,Gracie Barra Westchase Wrestling Club,30,D4,75
TX Nationals,Jaxon Kraemer,Best Trained Wrestling,10,D4,113
Panhandle,Ben Gruner,,10,D4,150
TX Nationals,Ben Gruner,Scots Wrestling Club,10,D4,150
Heart of Texas,Ben Gruner,Scots Wrestling Club,30,D4,150
Lonestar Nationals,Ben Gruner,Scots Wrestling Club,30,D4,150
Panhandle,Zayd Ahmed,Warrior Trained Wrestling,30,D4,126
TX Nationals,Zayd Ahmed,Warrior Trained Wrestling,5,D4,126
Lonestar Nationals,Zayd Ahmed,Warrior Trained Wrestling,5,D4,120
Edge of Texas,Joshua Perez,El Paso Wildcats Wrestling Club,30,D4,92
Panhandle,Joshua Perez,El Paso Wildcats Wrestling Club,0,D4,92
Heart of Texas,Joshua Perez,El Paso Wildcats Wrestling Club,30,D4,92
Edge of Texas,Carlos Vasquez,El Paso Enforcers Wrestling Club,5,D4,92
Lonestar Nationals,Carlos Vasquez,El Paso Enforcers Wrestling Club,0,D4,92
Edge of Texas,Elec Sanchez,Sentinels Wrestling Academy,10,D4,140
TX Nationals,Luke McElhenny,Best Trained Wrestling,0,D4,86
Heart of Texas,Luke McElhenny,Best Trained Wrestling,5,D4,86
Lonestar Nationals,Luke McElhenny,Best Trained Wrestling,0,D4,86
Panhandle,Paxton Fellows,F-5 Grappling,30,D4,75
Heart of Texas,Drake Pallan,3F Wrestling,0,D4,98
Lonestar Nationals,Major Pierce,Cardinal Wrestling Club,30,D4,175
TX Nationals,Asher Johnson,3F Wrestling,5,D4,132
Heart of Texas,Asher Johnson,3F Wrestling,30,D4,132
Heart of Texas,Tyler Kolesar,Katy Area Wrestling Club,5,D4,126
Edge of Texas,Marco Talamantez Jr.,NXT Level Wrestling Academy,5,D4,113
Panhandle,"Marco Talamantez, Jr.",NXT Level Wrestling Academy,5,D4,113
TX Nationals,Marco Talamantez Jr.,NXT Level Wrestling Academy,0,D4,113
Heart of Texas,"Marco Talamantez, Jr.",NXT Level Wrestling Academy,10,D4,113
Lonestar Nationals,"Marco Talamantez, Jr.",NXT Level Wrestling Academy,30,D4,113
Lonestar Nationals,Uriah Garcia,Panhandle RTC,10,D4,92
TX Nationals,Kevin Ward,Best Trained Wrestling,10,D4,98
Lonestar Nationals,Kevin Ward,Best Trained Wrestling,10,D4,98
TX Nationals,Lincoln Spielmann,NB Elite Wrestling Club,0,D4,80
Heart of Texas,Lincoln Spielmann,NB Elite Wrestling Club,0,D4,80
TX Nationals,Dandre Adams,Best Trained Wrestling,0,D4,98
Lonestar Nationals,Dandre Adams,Best Trained Wrestling,0,D4,98
Panhandle,Nathaniel Whiteside,Randall Youth Wrestling Club,0,D4,150
Heart of Texas,Marcello Maurici,3F Wrestling,0,D4,126
Panhandle,"Everette Harris, Jr.",,0,D4,126
TX Nationals,Everette Harris Jr.,G580 Wrestling Club,10,D4,126
Heart of Texas,"Everette Harris, Jr.",G580 Wrestling Club,30,D4,126
Lonestar Nationals,"Everette Harris, Jr.",G580 Wrestling Club,30,D4,126
Heart of Texas,Conrad Stoops,3F Wrestling,0,D4,132
Heart of Texas,Maddox Martin,Comal County Wrestling Club,0,D4,175
TX Nationals,Kaden Luna,NB Elite Wrestling Club,5,D4,140
Heart of Texas,Kaden Luna,NB Elite Wrestling Club,10,D4,140
TX Nationals,Ryland O`Connor,Cardinal Wrestling Club,0,D4,126
Lonestar Nationals,Ryland O'Connor,Cardinal Wrestling Club,10,D4,126
TX Nationals,Jackson Vo,All American Wrestling Club,0,D4,80
Lonestar Nationals,Jackson Vo,All American Wrestling Club Southlake,10,D4,75
Heart of Texas,Tyler Zufall,Hill Country Wildcats Wrestling Club,0,D4,150
Heart of Texas,Roman Maines,Comal County Wrestling Club,0,D4,92
Heart of Texas,Monroe Floreani,Barn Boys,5,D4,106
Lonestar Nationals,Monroe Floreani,Barn Boys,0,D4,106
TX Nationals,Jude Avila,Comal County Wrestling Club,10,D4,120
Lonestar Nationals,Jude Avila,Comal County Wrestling Club,0,D4,120
Heart of Texas,Liam Gonzales,Dead Shot Wrestling Club,0,D4,98
Panhandle,Liam Gonzales,,0,D4,92
TX Nationals,Jasper Barron,Spartan Mat Club,0,D4,120
TX Nationals,Nathan Carmine,Amped Wrestling Club,0,D4,120
Heart of Texas,Bear McLamb,Veritas Academy Defenders Wrestling,0,D4,150
Lonestar Nationals,William Pikett,Ranger 47 Wrestling Club,0,D4,120
Lonestar Nationals,Cade Schindel,Liberty Warriors Wrestling Club,5,D4,132
Lonestar Nationals,Cole Schindel,Liberty Warriors Wrestling Club,0,D4,75
TX Nationals,Zane Safford,Irish Wrestling Club,0,D4,75
Lonestar Nationals,Aaron Rodriguez,Gracie Barra Westchase Wrestling Club,0,D4,120
TX Nationals,Aaron Rodriguez,Gracie Barra Westchase Wrestling Club,0,D4,113
Lonestar Nationals,Cameron Lizak,Texas Select Wrestling,10,D4,86
TX Nationals,Cameron Lizak,Texas Select Wrestling,10,D4,80
Heart of Texas,Nolan Martin,Texas Select Wrestling,10,D4,120
Heart of Texas,Caleb Pyles,Nolf Wrestling Academy,0,D4,98
Panhandle,Hunter Lugo,Liberty Warriors Wrestling Club,0,D4,98
Lonestar Nationals,Hunter Lugo,Liberty Warriors Wrestling Club,30,D4,92
Heart of Texas,Xzavier Saenz,ReZults Wrestling,30,D4,106
Lonestar Nationals,Easton Oberbeck,West Texas Grapplers Wrestling Club,10,D4,132
Edge of Texas,Easton Oberbeck,West Texas Grapplers Wrestling Club,10,D4,126
Panhandle,Easton Oberbeck,West Texas Grapplers Wrestling Club,10,D4,126
TX Nationals,Easton Oberbeck,West Texas Grapplers Wrestling Club,0,D4,126
Panhandle,Ethan Daniels,Spartan Mat Club,0,D4,113
Lonestar Nationals,Ethan Daniels,Spartan Mat Club,0,D4,113
Lonestar Nationals,Jack Pattillo,Grapevine Wrestling Club,0,D4,132
Edge of Texas,Liam Johnson,Bomb City Wrestling Academy,0,D4,175
Panhandle,Liam Johnson,Bomb City Wrestling Academy,0,D4,175
TX Nationals,Landyn Daniels,Apex Grappling Academy,0,D4,140
Lonestar Nationals,Landyn Daniels,Apex Grappling Academy,0,D4,140
Heart of Texas,Andrew Koester,Apex Grappling Academy,5,D4,199
Lonestar Nationals,Alex Garcia,Coppell Stars Wrestling Club,5,D4,175
Heart of Texas,Cree Moseley,Panhandle RTC,0,D4,86
Heart of Texas,Derek Whitted,Nolf Wrestling Academy,0,D4,126
Lonestar Nationals,Lucas Scott,Texans Wrestling Club,0,D4,86
Panhandle,Lucas Scott,Texans Wrestling Club,0,D4,80
TX Nationals,Lucas Scott,Texans Wrestling Club,5,D4,80
Heart of Texas,Lucas Scott,Texans Wrestling Club,10,D4,80
Edge of Texas,Kenny Andrews,El Paso Wildcats Wrestling Club,10,D4,80
Edge of Texas,Asa Singleton,El Paso Enforcers Wrestling Club,0,D4,75
Lonestar Nationals,Kepler Wicks,FM Wrestling Club,30,D4,98
Panhandle,Kepler Wicks,FM Wrestling Club,30,D4,92
TX Nationals,Kepler Wicks,FM Wrestling Club,10,D4,92
Heart of Texas,Lorenzo Morales,Takedown City Wrestling Club,0,D4,80
Panhandle,Alfonso Gutierrez,Gracie Barra Westchase Wrestling Club,0,D4,98
Lonestar Nationals,Alfonso Gutierrez,Gracie Barra Westchase Wrestling Club,0,D4,98
Edge of Texas,Luno Escobedo,NXT Level Wrestling Academy,5,D4,162
Lonestar Nationals,Christopher Yang,Dragon Youth Wrestling,10,D4,113
Heart of Texas,Karl Hauch,Gracie Barra Westchase Wrestling Club,5,D4,92
Edge of Texas,Elijah Lara,NXT Level Wrestling Academy,30,D4,175
Panhandle,Elijah Lara,NXT Level Wrestling Academy,5,D4,175
TX Nationals,Elijah Lara,NXT Level Wrestling Academy,0,D4,175
Heart of Texas,Elijah Lara,NXT Level Wrestling Academy,5,D4,175
Lonestar Nationals,Elijah Lara,NXT Level Wrestling Academy,0,D4,175
Heart of Texas,Cruz Hooper,Austin Wrestling Academy,0,D4,106
Heart of Texas,Hikory Marsh,Steve Page Grappling,5,D4,75
TX Nationals,Kobe Lemer,ReZults Wrestling,10,D4,132
Edge of Texas,Kobe Lemer,ReZults Wrestling,30,D4,126
TX Nationals,Beckett Todd,Texas Elite Wrestling Club,10,D4,75
Lonestar Nationals,Beckett Todd,Texas Elite Wrestling Club,5,D4,75
Edge of Texas,Keanu Leyva,El Paso Texas Wrestling Club,0,D4,75
Edge of Texas,Anthony Martinez,Mesquite Wrestling Club,5,D4,106
TX Nationals,Anthony Martinez,Mesquite Wrestling Club,0,D4,106
Lonestar Nationals,Anthony Martinez,Mesquite Wrestling Club,0,D4,106
Panhandle,Nicholas Valdez,Glory Wrestling Academy,10,D4,175
Edge of Texas,Fabian Avitia,El Paso Wildcats Wrestling Club,0,D4,113
Edge of Texas,Xaden Matthews,El Paso Texas Wrestling Club,0,D4,162
Lonestar Nationals,Xaden Matthews,El Paso Texas Wrestling Club (EPTWC),10,D4,162
Lonestar Nationals,Zachariah De La Cruz,Stay Sharp Wrestling Club,0,D4,175
Edge of Texas,Zachariah De La Cruz,STAY SHARP WRESTLING CLUB,0,D4,162
Panhandle,Zachariah De La Cruz,Stay Sharp Wrestling Club,0,D4,162
Lonestar Nationals,William Johnston,Jflo Trained,0,D4,126
Edge of Texas,Jeremy Ramos,El Paso Wildcats Wrestling Club,30,D4,86
Panhandle,Jeremy Ramos,,10,D4,86
TX Nationals,Jeremy Ramos,El Paso Wildcats Wrestling Club,10,D4,86
Heart of Texas,Jeremy Ramos,El Paso Wildcats Wrestling Club,10,D4,86
Edge of Texas,Jadon Ramos,El Paso Wildcats Wrestling Club,10,D4,75
Panhandle,Jadon Ramos,,5,D4,75
TX Nationals,Jadon Ramos,El Paso Wildcats Wrestling Club,0,D4,75
Lonestar Nationals,Matthew Garcia,Lubbock-Cooper High School Wrestling,0,D4,150
Heart of Texas,Mason Horne,Texas Eagle Wrestling Academy,0,D4,92
Heart of Texas,Yaziel Navarro,El Paso Wildcats Wrestling Club,30,D4,106
Edge of Texas,Yaziel Navarro,El Paso Wildcats Wrestling Club,10,D4,98
TX Nationals,Yaziel Navarro,El Paso Wildcats Wrestling Club,0,D4,98
Lonestar Nationals,Yaziel Navarro,El Paso Wildcats Wrestling Club,5,D4,98
Heart of Texas,Paxton Holmes,Global Wrestling Club,10,D4,98
Edge of Texas,Samuel Shaw,Nolf Wrestling Academy,0,D4,86
TX Nationals,Samuel Shaw,Nolf Wrestling Academy,0,D4,86
Edge of Texas,Rosalie Silva,El Paso Wildcats Wrestling Club,0,D4,126
Lonestar Nationals,Franco Lopez III,Bandas Wrestling Academy,0,D4,162
Lonestar Nationals,Andrew Veloquio,Katy Area Wrestling Club,0,D4,75
Edge of Texas,James Triplett,Brawley Wrestling Academy,0,D4,98
TX Nationals,James Triplett,5 Monkey Wrestling Club,0,D4,98
Heart of Texas,James Triplett,5 Monkey Wrestling Club,5,D4,98
Lonestar Nationals,James Triplett,5 Monkey Wrestling Club,0,D4,98
Lonestar Nationals,Waylon Bledsoe,Cardinal Wrestling Club,30,D4,75
Heart of Texas,Eugene Jimenez Jr.,Dead Shot Wrestling Club,30,D4,75
Panhandle,Helio Gonzalez,Dead Shot Wrestling Club,0,D4,106
Heart of Texas,Esteban Rodriguez Quinones,Hill Country Wildcats Wrestling Club,0,D4,140
Heart of Texas,Sarfaraz Khalid,Irish Wrestling Club,10,D4,126
Lonestar Nationals,Sarfaraz Khalid,Irish Wrestling Club,0,D4,126
Lonestar Nationals,Elijah Richards,Texas Select Wrestling,0,D4,92
Lonestar Nationals,Alexander Cardinal,Dragon Youth Wrestling,10,D4,150
TX Nationals,Alexander Keyes,Texas Elite Wrestling Club,30,D4,120
Lonestar Nationals,Alexander Keyes,Texas Elite Wrestling Club,10,D4,120
Edge of Texas,Joaquin Avitia,El Paso Wildcats Wrestling Club,5,D4,120
Heart of Texas,Joaquin Avitia,El Paso Wildcats Wrestling Club,0,D4,120
Edge of Texas,Neo Leyva,El Paso Texas Wrestling Club,0,D4,106
Panhandle,Ian Robey,Fitness Fight Factory Wrestling Club,0,D4,132
Lonestar Nationals,Miles McGrain,Texas Select Wrestling,5,D4,80
Lonestar Nationals,Iker Daniel Valencia,Texas Select Wrestling,0,D4,113
Edge of Texas,Ethan Gentry,NXT Level Wrestling Academy,30,D4,106
Panhandle,Ethan Gentry,NXT Level Wrestling Academy,0,D4,106
TX Nationals,Ethan Gentry,NXT Level Wrestling Academy,10,D4,106
Lonestar Nationals,Ethan Gentry,NXT Level Wrestling Academy,10,D4,106
Heart of Texas,Bryce Ragland,Gracie Barra Westchase Wrestling Club,30,D4,113
TX Nationals,Cambriel Kirkland,South East Texas Gladiators Wrestling Club,0,D4,86
Heart of Texas,Nile Wright,Nolf Wrestling Academy,0,D4,162
Edge of Texas,Gustavo Zamora Iii,El Paso Wildcats Wrestling Club,30,D4,199
Edge of Texas,Abraham Parra,Cyclones Wrestling Club,10,D4,92
Heart of Texas,Sullivan McMahon,512 Outlaw Wrestling,0,D4,126
Lonestar Nationals,Simon Gilhooly,Austin Texas Wrestling Club,0,D4,80
Lonestar Nationals,KamRon Jackson,Aggtown Rangers,0,D4,175
Heart of Texas,Maurice Fitzgerald,Dead Shot Wrestling Club,0,D4,86
TX Nationals,Jovanhy Barrientos,Labyrinth Wrestling Club,0,D4,150
TX Nationals,Arian Maestas,Westlake Youth Wrestling Club,0,D4,140
Heart of Texas,Arian Maestas,Westlake Youth Wrestling Club,5,D4,140
Lonestar Nationals,Connor Carlson,Boneyard Wrestling Academy,0,D4,150
Heart of Texas,Zac Gonzalez,Dead Shot Wrestling Club,30,D4,120
Lonestar Nationals,Zac Gonzalez,Dead Shot Wrestling Club,30,D4,120
Edge of Texas,Zac Gonzalez,Dead Shot Wrestling Club,30,D4,113
TX Nationals,Zac Gonzalez,Dead Shot Wrestling Club,5,D4,113
Heart of Texas,Aaron Desmarais,Fitness Fight Factory Wrestling Club,0,D4,120
Heart of Texas,Lilianna Cantu,Nolf Wrestling Academy,0,D4,75
Edge of Texas,Jameson Kay,Best Trained Wrestling,30,D4,285
Panhandle,Jameson Kay,Best Trained Wrestling,5,D4,285
TX Nationals,Jameson Kay,Best Trained Wrestling,30,D4,285
Heart of Texas,Jameson Kay,Best Trained Wrestling,10,D4,285
Lonestar Nationals,Jameson Kay,Best Trained Wrestling,30,D4,285
Edge of Texas,Emmanuel Alo,Nolf Wrestling Academy,10,D4,86
Panhandle,Emmanuel Alo,Nolf Wrestling Academy,5,D4,86
TX Nationals,Emmanuel Alo,Nolf Wrestling Academy,5,D4,86
Heart of Texas,Emmanuel Alo,Nolf Wrestling Academy,30,D4,86
Lonestar Nationals,Emmanuel Alo,Nolf Wrestling Academy,5,D4,86
Edge of Texas,Patrick Almaguer,El Paso Wildcats Wrestling Club,30,D4,132
Heart of Texas,Patrick Almaguer,El Paso Wildcats Wrestling Club,5,D4,132
Lonestar Nationals,Patrick Almaguer,El Paso Wildcats Wrestling Club,30,D4,132
Heart of Texas,Jakob Madsen,Texas,5,D4,162
TX Nationals,Julian Castillo,NB Elite Wrestling Club,0,D4,126
Heart of Texas,Julian Castillo,NB Elite Wrestling Club,5,D4,120
Panhandle,Randall Hadden,Lubbock-Cooper High School Wrestling,0,D4,86
Lonestar Nationals,Cesar Gonzalez,Mesquite Wrestling Club,0,D4,80
Panhandle,Gustavo Maldonado,Dumas Wrestling,0,D4,162
Edge of Texas,Jason Osborne,El Paso Wildcats Wrestling Club,0,D4,106
TX Nationals,Maverick Hood,512 Outlaw Wrestling,0,D4,106
Heart of Texas,Andrew Salgado,806 Takedown Wrestling,0,D4,113
Heart of Texas,Carter Link,Alamo City Wrestling Club,0,D4,92
Heart of Texas,Liam Dooley,Elevate Wrestling Club,0,D4,150
Heart of Texas,Michael Rendon,Heart and Pride Wrestling Club,10,D4,92
Lonestar Nationals,Michael Rendon,Heart and Pride Wrestling Club,0,D4,92
Heart of Texas,Donavan KL Williams,Rise Wrestling,0,D4,132
Panhandle,Donavan KL Williams,Rise Wrestling,0,D4,126
Lonestar Nationals,Donavan KL Williams,Rise Wrestling,0,D4,126
Panhandle,Wyatt Vaughn,Randall Youth Wrestling Club,0,D4,140
Edge of Texas,Joel Cardenas,Harmony Wolves Wrestling,30,D4,285
Edge of Texas,Connor Dong,Gracie Barra Westchase Wrestling Club,30,D4,140
Panhandle,Connor Dong,Gracie Barra Westchase Wrestling Club,5,D4,140
TX Nationals,SCRATCH Connor Dong,Gracie Barra Westchase Wrestling Club,0,D4,140
Heart of Texas,Viktor Lyubenov,Nolf Wrestling Academy,30,D4,80
Edge of Texas,Iker Palacios,El Paso Texas Wrestling Club,0,D4,80
Edge of Texas,Adam Flores,STAY SHARP WRESTLING CLUB,5,D4,140
Heart of Texas,Adam Flores,Stay Sharp Wrestling Club,0,D4,140
Panhandle,Jack Cole,Fitness Fight Factory Wrestling Club,30,D4,175
TX Nationals,Jack Cole,Fitness Fight Factory Wrestling Club,30,D4,175
Heart of Texas,Jack Cole,Fitness Fight Factory Wrestling Club,30,D4,175
Lonestar Nationals,Jack Cole,Fitness Fight Factory Wrestling Club,10,D4,175
TX Nationals,Ryan Medrano,Fitness Fight Factory Wrestling Club,0,D4,150
Heart of Texas,Ryan Medrano,Fitness Fight Factory Wrestling Club,5,D4,150
Heart of Texas,Lincoln Bourne,Ohana HQ Wrestling,0,D4,75
Heart of Texas,Misael Melgoza,Grizzly Wrestling Club,0,D4,132
Edge of Texas,Benjamin Oropeza,El Paso Wildcats Wrestling Club,5,D4,175
Heart of Texas,Christian Lynn,G580 Wrestling Club,0,D4,113
Heart of Texas,Evan Ruvalacaba,Texas,0,D4,120
Edge of Texas,Evan Mitchell,Team Xtreme Wrestling,10,D4,120
Heart of Texas,Ondre Bent,Katy Area Wrestling Club,0,D4,80
TX Nationals,Carson Stone,Spring Klein Wrestling Club,0,D4,80
Heart of Texas,Carson Stone,Spring Klein Wrestling Club,5,D4,80
Lonestar Nationals,Carson Stone,Spring Klein Wrestling Club,10,D4,80
Panhandle,Braydin Standley,806 Takedown Wrestling,5,D4,126
Edge of Texas,Zaydin Sanchez,El Paso Wildcats Wrestling Club,0,D4,162
Heart of Texas,Jude Lee,Dripping Springs Youth Sports Association Wrestling Club,30,D4,285
Edge of Texas,Gabino Gonzalez,Harmony Wolves Wrestling,10,D4,285
Heart of Texas,William Nabors,Ohana HQ Wrestling,10,D4,150
Heart of Texas,Elijah Nabors,Ohana HQ Wrestling,30,D4,140
Edge of Texas,Joshua Mireles,El Paso Wildcats Wrestling Club,10,D4,132
Panhandle,Vicente Larez,ReZults Wrestling,0,D4,162
Edge of Texas,Lincoln Brown,Team Xtreme Wrestling,0,D4,132
TX Nationals,Bryson Aranda,Wolf Pack Wrestling TX,10,D4,199
Edge of Texas,Damian Macias,El Paso Wildcats Wrestling Club,0,D4,126
TX Nationals,Ernesto Torres,Brawley Wrestling Academy,0,D4,150
TX Nationals,Nora Joanne Daniels,Katy Area Wrestling Club,10,G1,60
Heart of Texas,Nora Joanne Daniels,Katy Area Wrestling Club,10,G1,60
Panhandle,Amaziah Nunez,Randall Youth Wrestling Club,0,G1,60
Lonestar Nationals,Mariana Alcantara,Silverback Wrestling Fort Worth,30,G1,60
Panhandle,Mariana Alcantara,Silverback Wrestling Fort Worth,5,G1,60
Panhandle,Maddison Burris,Wesley Club Wrestling,5,G1,50
Panhandle,Kendal Martinez,Glory Wrestling Academy,10,G1,55
TX Nationals,Kinsley Ontiveros,Texas Elite Wrestling Club,30,G1,199
Lonestar Nationals,Everly Magallanes,Dumas Wrestling,10,G1,50
Panhandle,Everly Magallanes,Dumas Wrestling,10,G1,46
Panhandle,lylah reyes,Dumas Wrestling,0,G1,55
Lonestar Nationals,Berklyn Fields,Cardinal Wrestling Club,30,G1,199
Lonestar Nationals,Tezza Leyva,El Paso Texas Wrestling Club (EPTWC),10,G1,42
Edge of Texas,Tezza Leyva,El Paso Texas Wrestling Club,30,G1,42
TX Nationals,Tezza Leyva,El Paso Texas Wrestling Club (EPTWC),10,G1,42
Heart of Texas,Tezza Leyva,El Paso Texas Wrestling Club (EPTWC),30,G1,42
Panhandle,Addison Long,West Amarillo Wrestling Club,5,G1,72
Lonestar Nationals,Frances Cogar,Spartan Mat Club,5,G1,50
TX Nationals,Frances Cogar,Spartan Mat Club,10,G1,50
Lonestar Nationals,Lillyonna Handy,Strike and Submit Wrestling Club,0,G1,55
Heart of Texas,Lillyonna Handy,Strike and Submit Wrestling Club,0,G1,55
Lonestar Nationals,Yaniliz Navarro,El Paso Wildcats Wrestling Club,10,G1,38
TX Nationals,Yaniliz Navarro,El Paso Wildcats Wrestling Club,5,G1,38
Edge of Texas,Yaniliz Navarro,El Paso Wildcats Wrestling Club,10,G1,35
Panhandle,Yaniliz Navarro,El Paso Wildcats Wrestling Club,10,G1,35
Heart of Texas,Yaniliz Navarro,El Paso Wildcats Wrestling Club,0,G1,35
TX Nationals,Aliyah Chinchilla,Spring Klein Wrestling Club,0,G1,55
Lonestar Nationals,Lilian Alejandra Guerrero,Silverback Wrestling Fort Worth,30,G1,55
TX Nationals,Lilian Alejandra Guerrero,Silverback Wrestling Fort Worth,10,G1,55
TX Nationals,Charlotte Vonberg,Grizzly Wrestling Club,0,G1,46
Heart of Texas,Lily-Mae Ybarbo,Vici Wrestling Club,0,G1,55
Lonestar Nationals,Olivia Agin,El Paso Texas Wrestling Club (EPTWC),30,G1,35
TX Nationals,Olivia Agin,El Paso Texas Wrestling Club (EPTWC),10,G1,38
Edge of Texas,Olivia Agin,El Paso Texas Wrestling Club,30,G1,35
Panhandle,Olivia Agin,El Paso Texas Wrestling Club (EPTWC),30,G1,35
Heart of Texas,Olivia Agin,El Paso Texas Wrestling Club (EPTWC),5,G1,35
Lonestar Nationals,Ezel Ceniceros,NXT Level Wrestling Academy,10,G1,55
Edge of Texas,Ezel Ceniceros,NXT Level Wrestling Academy,30,G1,55
Heart of Texas,Ezel Ceniceros,NXT Level Wrestling Academy,10,G1,55
Lonestar Nationals,Elizabeth Foster,Best Trained Wrestling,10,G1,199
TX Nationals,Elizabeth Foster,Best Trained Wrestling,0,G1,199
Lonestar Nationals,Ruby Kate Richards,Texas Select Wrestling,30,G1,46
TX Nationals,Ruby Kate Richards,Texas Select Wrestling,30,G1,46
TX Nationals,Ilana Lightfoot,El Paso Texas Wrestling Club (EPTWC),5,G1,42
Lonestar Nationals,Holly myers,Dead Shot Wrestling Club,30,G1,72
